i,j,value
-13,-18,-0.130589
-13,-17,-0.170725
-13,-16,-0.220841
-13,-15,-0.282678
-13,-14,-0.358053
-13,-13,-0.448773
-13,-12,-0.556511
-13,-11,-0.68263
-13,-10,-0.827941
-13,-9,-0.992384
-13,-8,-1.17463
-13,-7,-1.37161
-13,-6,-1.57803
-13,-5,-1.78599
-13,-4,-1.98492
-13,-3,-2.16208
-13,-2,-2.30391
-13,-1,-2.39803
-13,0,-2.43563
-13,1,-2.41338
-13,2,-2.33417
-13,3,-2.20642
-13,4,-2.04211
-13,5,-1.85451
-13,6,-1.6561
-13,7,-1.45726
-13,8,-1.26582
-13,9,-1.08706
-13,10,-0.924094
-13,11,-0.778395
-13,12,-0.650204
-13,13,-0.538938
-13,14,-0.443489
-13,15,-0.362453
-13,16,-0.294291
-13,17,-0.237444
-13,18,-0.190405
-13,19,-0.151767
-13,20,-0.120246
